City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,keflavik,64.0049,-22.5624,10.95,93,100,3.09,IS,2024-08-08 22:49:59
137,kudahuvadhoo,2.6708,72.8944,27.54,72,90,2.22,MV,2024-08-08 22:50:00
138,port augusta,-32.5,137.7667,12.26,78,72,2.96,AU,2024-08-08 22:50:01
139,ilulissat,69.2167,-51.1,6.01,93,75,1.03,GL,2024-08-08 22:50:03
140,hasaki,35.7333,140.8333,29.22,82,0,5.99,JP,2024-08-08 22:50:05
141,quepos,9.4236,-84.1652,25.63,89,100,1.8,CR,2024-08-08 22:50:07
142,kingscliff,-28.2667,153.5667,19.31,77,32,2.57,AU,2024-08-08 22:50:08
143,bandarbeyla,9.4942,50.8122,25.23,73,87,12.53,SO,2024-08-08 22:50:09
144,port mathurin,-19.6833,63.4167,22.27,75,48,8.71,MU,2024-08-08 22:50:11
145,acheng,45.5454,126.977,21.68,90,79,3.41,CN,2024-08-08 22:50:12
146,lebu,-37.6167,-73.65,7.32,83,15,4.21,CL,2024-08-08 22:50:13
147,sarande,39.8756,20.0053,27.85,64,4,1.93,AL,2024-08-08 22:50:15
148,la paz,-16.5,-68.15,12.99,15,20,5.66,BO,2024-08-08 22:38:32
149,brandon,27.9378,-82.2859,33.26,74,0,5.14,US,2024-08-08 22:50:17
150,orange walk,17.8333,-88.8333,29.76,70,100,2.97,BZ,2024-08-08 22:50:18
151,utrik,11.2278,169.8474,28.25,80,96,8.74,MH,2024-08-08 22:50:20
152,paragominas,-2.9667,-47.4833,29.31,39,60,1.7,BR,2024-08-08 22:50:21
153,zilupe,56.3862,28.1217,17.2,75,90,1.18,LV,2024-08-08 22:50:23
154,pacific grove,36.6177,-121.9166,25.86,82,0,4.12,US,2024-08-08 22:50:25
155,badiyah,22.45,58.8,27.02,68,64,3.68,OM,2024-08-08 22:50:26
156,turpan,42.9333,89.1667,26.69,41,0,0.88,CN,2024-08-08 22:50:27
157,geraldton,-28.7667,114.6,9.23,93,0,3.6,AU,2024-08-08 22:50:28
158,anadyr,64.75,177.4833,8.28,75,75,3.0,RU,2024-08-08 22:50:30
159,howrah,22.5892,88.3103,27.0,94,75,1.54,IN,2024-08-08 22:50:31
160,ishigaki,24.3448,124.1572,27.07,100,57,1.54,JP,2024-08-08 22:50:34
161,colonia,50.9333,6.95,20.87,73,0,3.6,DE,2024-08-08 22:50:35
162,sandnessjoen,66.0217,12.6316,15.29,86,100,5.58,NO,2024-08-08 22:50:36
163,zapala,-38.8992,-70.0544,5.14,40,63,2.19,AR,2024-08-08 22:50:38
164,kiruna,67.8557,20.2251,13.51,82,100,3.6,SE,2024-08-08 22:50:39
165,sitia,35.2,26.0986,28.32,61,0,4.78,GR,2024-08-08 22:50:40
166,nema,57.5067,50.5011,11.9,97,58,2.68,RU,2024-08-08 22:50:42
167,eseka,3.65,10.7667,21.62,99,86,0.58,CM,2024-08-08 22:50:43
168,lossiemouth,57.7214,-3.2834,13.95,91,75,3.09,GB,2024-08-08 22:50:44
169,jamaame,0.0697,42.745,23.17,79,57,4.02,SO,2024-08-08 22:50:45
170,fisterra,42.9049,-9.2629,19.3,88,0,7.52,ES,2024-08-08 22:50:47
171,nova sintra,14.8667,-24.7167,25.81,78,11,2.9,CV,2024-08-08 22:50:48
172,lampazos de naranjo,27.0167,-100.5167,39.74,21,0,3.86,MX,2024-08-08 22:50:49
173,indramayu,-6.3264,108.32,25.57,76,100,3.2,ID,2024-08-08 22:50:51
174,vilyuysk,63.7553,121.6247,17.72,57,7,1.79,RU,2024-08-08 22:50:52
175,edinburgh of the seven seas,-37.0676,-12.3116,14.67,94,100,16.04,SH,2024-08-08 22:50:53
176,korla,41.7597,86.1469,22.13,47,0,2.15,CN,2024-08-08 22:50:54
177,chonchi,-42.6128,-73.8092,7.84,92,100,0.63,CL,2024-08-08 22:50:56
178,minas de marcona,-15.2119,-75.1103,10.65,86,40,7.21,PE,2024-08-08 22:50:57
179,totness,5.8833,-56.3167,26.98,82,83,2.51,SR,2024-08-08 22:50:58
180,namibe,-15.1961,12.1522,17.1,79,0,2.65,AO,2024-08-08 22:51:00
181,longyearbyen,78.2186,15.6401,11.91,87,0,1.03,SJ,2024-08-08 22:51:01
182,klyuchi,52.2667,79.1667,17.94,86,87,1.85,RU,2024-08-08 22:51:02
183,hadibu,12.65,54.0333,25.07,81,26,7.89,YE,2024-08-08 22:51:04
184,aden,12.7794,45.0367,28.96,79,66,7.11,YE,2024-08-08 22:51:05
185,belmonte,-15.8631,-38.8828,21.69,74,2,2.75,BR,2024-08-08 22:51:06
186,pitkyaranta,61.5734,31.4792,16.62,68,100,1.9,RU,2024-08-08 22:51:07
187,ancud,-41.8697,-73.8203,7.68,79,100,2.21,CL,2024-08-08 22:51:09
188,san patricio,28.017,-97.5169,34.19,45,0,5.79,US,2024-08-08 22:51:10
189,tolanaro,-25.0319,46.9987,20.04,88,20,11.83,MG,2024-08-08 22:51:11
190,la passe,45.5549,-0.8967,19.43,81,3,3.63,FR,2024-08-08 22:51:13
191,sabinas,27.85,-101.1167,39.94,19,1,6.55,MX,2024-08-08 22:51:14
192,kidal,18.4411,1.4078,34.08,34,47,1.24,ML,2024-08-08 22:51:15
193,ola,59.5833,151.2833,14.58,79,97,0.5,RU,2024-08-08 22:51:17
194,dombarovskiy,50.7587,59.5386,16.11,87,99,5.22,RU,2024-08-08 22:51:18
195,abbeville,50.1,1.8333,20.83,73,98,4.27,FR,2024-08-08 22:51:19
196,hotan,37.0997,79.9269,24.27,33,0,3.72,CN,2024-08-08 22:51:20
197,gadzhiyevo,69.2551,33.3362,12.52,60,23,4.94,RU,2024-08-08 22:51:22
198,tilcara,-23.5776,-65.3509,4.51,18,4,5.76,AR,2024-08-08 22:51:23
199,ust-nera,64.5667,143.2,14.87,70,89,2.49,RU,2024-08-08 22:51:26
200,inhambane,-23.865,35.3833,20.81,88,0,5.26,MZ,2024-08-08 22:51:27
201,fale old settlement,-9.3852,-171.2468,28.22,75,100,7.58,TK,2024-08-08 22:51:28
202,lorengau,-2.0226,147.2712,29.45,68,4,4.37,PG,2024-08-08 22:51:30
203,pariaman,-0.619,100.12,26.03,83,100,1.7,ID,2024-08-08 22:51:31
204,barclayville,4.6797,-8.2339,23.23,81,100,2.26,LR,2024-08-08 22:51:32
205,svyetlahorsk,52.6329,29.7389,15.3,78,96,0.85,BY,2024-08-08 22:51:33
206,rehoboth,-23.3167,17.0833,11.96,21,0,4.12,NA,2024-08-08 22:51:35
207,badger,64.8,-147.5333,19.28,72,100,4.12,US,2024-08-08 22:51:36
208,orsa,54.5153,30.4053,14.12,88,96,2.46,BY,2024-08-08 22:51:37
209,qarazhal,48.0078,70.7903,27.64,32,84,8.43,KZ,2024-08-08 22:51:39
210,baharly,38.4362,57.4316,30.8,49,72,1.99,TM,2024-08-08 22:51:40
211,mejit,10.2753,170.8646,28.33,79,98,8.27,MH,2024-08-08 22:51:41
